1;7;50;0;0;50
3;7;20;29;51;71
2;6;6;19;72;78
4;4;18;45;79;97
5;1;101;60;98;199
6;10;75;117;200;275
8;11;70;211;276;346
7;9;15;136;347;362
9;8;14;239;363;377
13;8;63;285;378;441
14;6;83;321;442;525
10;2;14;243;526;540
11;2;7;267;541;548
16;7;50;548;549;599
18;8;34;599;600;634
17;7;19;573;635;654
12;2;55;273;655;710
19;4;8;671;711;719
20;8;12;718;720;732
21;5;2;720;733;735
15;2;20;529;736;756
22;8;12;788;788;800
23;2;21;823;823;844
24;6;1;861;861;862
25;9;9;916;916;925
26;4;30;920;926;956
27;6;70;929;957;1027
28;8;23;1044;1044;1067
29;5;41;1104;1104;1145
30;9;7;1143;1146;1153
31;4;62;1171;1171;1233
32;4;29;1203;1234;1263
33;5;78;1256;1264;1342
34;6;28;1310;1343;1371
35;3;31;1339;1372;1403
36;8;29;1454;1454;1483
37;4;41;1459;1484;1525
39;11;43;1499;1526;1569
40;7;8;1530;1570;1578
41;6;15;1557;1579;1594
42;2;10;1561;1595;1605
38;1;10;1473;1606;1616
43;7;22;1715;1715;1737
44;8;15;1730;1738;1753
45;8;5;1740;1754;1759
46;8;42;1758;1760;1802
48;11;7;1788;1803;1810
47;1;14;1773;1811;1825
49;11;49;1833;1833;1882
50;5;31;1983;1983;2014
51;7;29;1999;2015;2044
52;5;85;2078;2078;2163
53;2;37;2179;2179;2216
54;6;81;2200;2217;2298
55;9;9;2242;2299;2308
56;3;14;2252;2309;2323
58;2;15;2262;2324;2339
57;1;4;2254;2340;2344
59;4;4;2365;2365;2369
60;1;113;2384;2384;2497
61;11;5;2397;2498;2503
63;11;19;2429;2504;2523
65;7;1;2518;2524;2525
62;2;48;2411;2526;2574
67;7;39;2552;2575;2614
68;10;6;2583;2615;2621
66;6;6;2546;2622;2628
64;2;122;2515;2629;2751
69;3;34;2671;2752;2786
70;7;31;2778;2787;2818
71;1;4;2779;2819;2823
72;11;7;2853;2853;2860
73;5;6;2868;2868;2874
74;4;3;2899;2899;2902
75;9;20;2938;2938;2958
76;4;19;2951;2959;2978
77;3;1;3042;3042;3043
78;10;17;3068;3068;3085
79;10;9;3100;3100;3109
80;6;23;3117;3117;3140
81;3;21;3118;3141;3162
82;7;8;3219;3219;3227
83;9;9;3290;3290;3299
84;6;25;3291;3300;3325
85;10;4;3317;3326;3330
86;7;12;3319;3331;3343
87;6;30;3322;3344;3374
88;5;17;3327;3375;3392
90;11;42;3380;3393;3435
92;7;18;3432;3436;3454
89;5;14;3371;3455;3469
93;2;2;3460;3470;3472
91;1;109;3409;3473;3582
96;6;11;3557;3583;3594
94;5;2;3486;3595;3597
95;3;53;3509;3598;3651
97;2;31;3695;3695;3726
98;7;1;3696;3727;3728
99;4;88;3713;3729;3817
101;10;8;3778;3818;3826
102;8;6;3786;3827;3833
103;6;56;3823;3834;3890
100;3;18;3767;3891;3909
104;5;15;3899;3910;3925
105;11;2;3918;3926;3928
106;5;35;3951;3951;3986
110;9;19;3981;3987;4006
107;6;22;3954;4007;4029
111;7;11;4019;4030;4041
108;6;61;3967;4042;4103
113;11;28;4062;4104;4132
109;5;57;3980;4133;4190
116;10;17;4170;4191;4208
118;7;110;4201;4209;4319
119;11;3;4285;4320;4323
120;8;11;4293;4324;4335
114;5;10;4101;4336;4346
121;5;50;4299;4347;4397
124;6;9;4366;4398;4407
112;4;29;4044;4408;4437
115;4;12;4119;4438;4450
122;4;26;4316;4451;4477
117;2;114;4200;4478;4592
129;10;14;4566;4593;4607
128;3;18;4544;4608;4626
123;2;14;4364;4627;4641
132;5;30;4636;4642;4672
125;2;23;4426;4673;4696
127;2;22;4503;4697;4719
134;3;4;4710;4720;4724
130;2;1;4595;4725;4726
135;2;7;4711;4727;4734
136;9;22;4735;4735;4757
137;6;19;4749;4758;4777
139;8;21;4774;4778;4799
126;1;26;4481;4800;4826
131;1;2;4603;4827;4829
133;1;32;4701;4830;4862
140;7;17;4848;4863;4880
138;1;17;4764;4881;4898
141;1;4;4902;4902;4906
142;7;18;4936;4936;4954
143;10;111;4970;4970;5081
145;6;40;5063;5082;5122
151;11;2;5108;5123;5125
149;9;9;5101;5126;5135
152;9;30;5121;5136;5166
147;8;20;5090;5167;5187
148;8;10;5091;5188;5198
156;9;21;5190;5199;5220
155;6;1;5189;5221;5222
146;5;13;5079;5223;5236
154;5;54;5182;5237;5291
150;4;25;5106;5292;5317
153;2;11;5176;5318;5329
144;1;30;4999;5330;5360
157;1;8;5272;5361;5369
158;1;65;5450;5450;5515
159;1;25;5577;5577;5602
160;6;21;5579;5603;5624
161;3;31;5586;5625;5656
162;2;16;5642;5657;5673
163;3;23;5695;5695;5718
164;9;7;5702;5719;5726
166;8;5;5721;5727;5732
165;6;7;5712;5733;5740
167;9;5;5751;5751;5756
168;2;24;5775;5775;5799
169;10;4;5832;5832;5836
170;6;20;5868;5868;5888
171;2;3;5886;5889;5892
172;2;2;5897;5897;5899
173;9;8;5969;5969;5977
174;9;1;6085;6085;6086
175;9;15;6100;6100;6115
176;5;4;6114;6116;6120
177;9;1;6119;6121;6122
178;1;2;6143;6143;6145
179;6;8;6145;6146;6154
180;7;41;6248;6248;6289
181;7;24;6324;6324;6348
182;9;13;6332;6349;6362
183;5;24;6345;6363;6387
184;7;15;6381;6388;6403
185;8;1;6434;6434;6435
186;1;8;6441;6441;6449
187;10;7;6467;6467;6474
188;5;19;6523;6523;6542
189;6;18;6570;6570;6588
190;2;26;6614;6614;6640
191;5;33;6659;6659;6692
192;5;3;6704;6704;6707
193;2;20;6769;6769;6789
194;11;16;6773;6790;6806
195;1;40;6835;6835;6875
196;11;41;6865;6876;6917
197;6;30;6889;6918;6948
198;6;93;6897;6949;7042
199;7;31;6979;7043;7074
200;2;6;7141;7141;7147
201;1;11;7205;7205;7216
203;8;5;7214;7217;7222
202;7;21;7207;7223;7244
204;3;6;7215;7245;7251
205;2;33;7234;7252;7285
206;11;47;7268;7286;7333
207;7;8;7313;7334;7342
208;5;14;7429;7429;7443
209;6;10;7538;7538;7548
210;2;23;7556;7556;7579
211;6;2;7585;7585;7587
212;1;30;7591;7591;7621
214;9;48;7609;7622;7670
219;11;15;7651;7671;7686
213;8;2;7596;7687;7689
220;8;68;7690;7690;7758
216;5;25;7629;7759;7784
217;4;1;7636;7785;7786
221;3;49;7771;7787;7836
222;6;6;7814;7837;7843
223;6;10;7817;7844;7854
215;2;68;7610;7855;7923
218;1;46;7639;7924;7970
225;6;7;7952;7971;7978
224;2;19;7934;7979;7998
226;9;36;7997;7999;8035
228;10;10;8005;8036;8046
229;8;18;8038;8047;8065
230;2;8;8053;8066;8074
231;11;2;8067;8075;8077
227;1;34;8004;8078;8112
232;5;35;8116;8116;8151
233;2;8;8195;8195;8203
235;10;3;8203;8204;8207
234;3;2;8202;8208;8210
236;5;4;8229;8229;8233
237;1;10;8242;8242;8252
238;3;35;8273;8273;8308
239;10;16;8274;8309;8325
240;9;46;8307;8326;8372
241;6;11;8330;8373;8384
242;3;4;8383;8385;8389
243;3;10;8401;8401;8411
244;11;28;8413;8413;8441
245;2;9;8432;8442;8451
246;4;12;8454;8454;8466
247;3;11;8467;8467;8478
248;2;20;8501;8501;8521
249;5;2;8525;8525;8527
250;11;12;8563;8563;8575
251;3;38;8578;8578;8616
252;8;13;8580;8617;8630
253;7;30;8587;8631;8661
255;8;28;8633;8662;8690
254;5;14;8589;8691;8705
259;3;12;8704;8706;8718
260;11;66;8708;8719;8785
262;10;23;8772;8786;8809
261;6;58;8754;8810;8868
263;11;28;8841;8869;8897
266;10;51;8859;8898;8949
264;5;6;8842;8950;8956
265;4;17;8851;8957;8974
268;3;14;8939;8975;8989
271;3;4;8982;8990;8994
256;2;3;8649;8995;8998
257;2;11;8685;8999;9010
258;2;19;8701;9011;9030
272;3;14;9031;9031;9045
273;7;1;9041;9046;9047
267;1;1;8889;9048;9049
269;1;13;8963;9050;9063
276;8;55;9063;9064;9119
277;10;10;9077;9120;9130
274;4;6;9058;9131;9137
270;1;2;8977;9138;9140
