1.0;4
1.1;3
1.2;9
1.3;4
1.4;11
1.5;12
1.6;29
1.7;14
1.8;15
1.9;11
2.0;21
2.1;11
2.2;20
2.3;15
2.4;25
2.5;19
2.6;22
2.7;24
2.8;31
2.9;17
3.0;46
3.1;54
3.2;35
3.3;27
3.4;68
3.5;33
3.6;73
3.7;48
3.8;187
3.9;66
4.0;108
4.1;84
4.2;63
4.3;154
4.4;70
4.5;395
4.6;221
4.7;320
4.8;172
4.9;406
5.0;394
5.1;281
5.2;292
5.3;224
5.4;400
5.5;409
5.6;336
5.7;283
5.8;292
5.9;494
6.0;269
6.1;483
6.2;322
6.3;228
6.4;320
6.5;199
6.6;478
6.7;359
6.8;282
6.9;568
7.0;325
7.1;250
7.2;379
7.3;242
7.4;243
7.5;198
7.6;296
7.7;654
7.8;290
7.9;304
8.0;242
8.1;503
8.2;378
8.3;370
8.4;273
8.5;402
8.6;284
8.7;333
8.8;425
8.9;297
9.0;419
9.1;284
9.2;392
9.3;338
9.4;304
9.5;322
9.6;176
9.7;195
9.8;426
9.9;514
10.0;245
